# Comparação: Solução Numérica vs Solução Analítica
# θ₀ = 1.5708 rad (90.0 graus)
# t(s)	theta_num(rad)	theta_anal(rad)	diferenca(rad)
0.000000	1.570796	1.570796	0.000000e+00
0.000100	1.570796	1.570796	2.799942e-08
0.000200	1.570796	1.570796	1.119977e-07
0.000300	1.570796	1.570796	2.519947e-07
0.000400	1.570796	1.570795	4.479906e-07
0.000500	1.570795	1.570794	6.999851e-07
0.000600	1.570795	1.570794	1.007978e-06
0.000700	1.570794	1.570793	1.371970e-06
0.000800	1.570793	1.570791	1.791960e-06
0.000900	1.570792	1.570790	2.267949e-06
0.001000	1.570791	1.570789	2.799936e-06
0.001100	1.570790	1.570787	3.387921e-06
0.001200	1.570789	1.570785	4.031904e-06
0.001300	1.570788	1.570783	4.731884e-06
0.001400	1.570787	1.570781	5.487862e-06
0.001500	1.570785	1.570779	6.299838e-06
0.001600	1.570784	1.570777	7.167811e-06
0.001700	1.570782	1.570774	8.091780e-06
0.001800	1.570780	1.570771	9.071746e-06
0.001900	1.570779	1.570769	1.010771e-05
0.002000	1.570777	1.570766	1.119967e-05
0.002100	1.570775	1.570762	1.234762e-05
0.002200	1.570773	1.570759	1.355157e-05
0.002300	1.570770	1.570756	1.481152e-05
0.002400	1.570768	1.570752	1.612746e-05
0.002500	1.570766	1.570748	1.749939e-05
0.002600	1.570763	1.570744	1.892732e-05
0.002700	1.570761	1.570740	2.041124e-05
0.002800	1.570758	1.570736	2.195116e-05
0.002900	1.570755	1.570732	2.354707e-05
0.003000	1.570752	1.570727	2.519897e-05
0.003100	1.570749	1.570722	2.690686e-05
0.003200	1.570746	1.570717	2.867075e-05
0.003300	1.570743	1.570712	3.049062e-05
0.003400	1.570740	1.570707	3.236649e-05
0.003500	1.570736	1.570702	3.429835e-05
0.003600	1.570733	1.570696	3.628619e-05
0.003700	1.570729	1.570691	3.833003e-05
0.003800	1.570725	1.570685	4.042985e-05
0.003900	1.570722	1.570679	4.258566e-05
0.004000	1.570718	1.570673	4.479746e-05
0.004100	1.570714	1.570667	4.706525e-05
0.004200	1.570710	1.570660	4.938902e-05
0.004300	1.570706	1.570654	5.176878e-05
0.004400	1.570701	1.570647	5.420452e-05
0.004500	1.570697	1.570640	5.669624e-05
0.004600	1.570693	1.570633	5.924395e-05
0.004700	1.570688	1.570626	6.184765e-05
0.004800	1.570683	1.570619	6.450732e-05
0.004900	1.570679	1.570611	6.722298e-05
0.005000	1.570674	1.570604	6.999462e-05
0.005100	1.570669	1.570596	7.282223e-05
0.005200	1.570664	1.570588	7.570583e-05
0.005300	1.570659	1.570580	7.864540e-05
0.005400	1.570653	1.570572	8.164096e-05
0.005500	1.570648	1.570563	8.469248e-05
0.005600	1.570642	1.570555	8.779999e-05
0.005700	1.570637	1.570546	9.096347e-05
0.005800	1.570631	1.570537	9.418292e-05
0.005900	1.570626	1.570528	9.745835e-05
0.006000	1.570620	1.570519	1.007898e-04
0.006100	1.570614	1.570510	1.041771e-04
0.006200	1.570608	1.570500	1.076205e-04
0.006300	1.570602	1.570491	1.111198e-04
0.006400	1.570595	1.570481	1.146751e-04
0.006500	1.570589	1.570471	1.182863e-04
0.006600	1.570583	1.570461	1.219535e-04
0.006700	1.570576	1.570450	1.256767e-04
0.006800	1.570570	1.570440	1.294559e-04
0.006900	1.570563	1.570429	1.332910e-04
0.007000	1.570556	1.570419	1.371820e-04
0.007100	1.570549	1.570408	1.411291e-04
0.007200	1.570542	1.570397	1.451321e-04
0.007300	1.570535	1.570386	1.491910e-04
0.007400	1.570528	1.570374	1.533059e-04
0.007500	1.570520	1.570363	1.574768e-04
0.007600	1.570513	1.570351	1.617036e-04
0.007700	1.570505	1.570340	1.659864e-04
0.007800	1.570498	1.570328	1.703252e-04
0.007900	1.570490	1.570315	1.747199e-04
0.008000	1.570482	1.570303	1.791705e-04
0.008100	1.570474	1.570291	1.836771e-04
0.008200	1.570466	1.570278	1.882396e-04
0.008300	1.570458	1.570266	1.928581e-04
0.008400	1.570450	1.570253	1.975326e-04
0.008500	1.570442	1.570240	2.022629e-04
0.008600	1.570434	1.570226	2.070493e-04
0.008700	1.570425	1.570213	2.118915e-04
0.008800	1.570416	1.570200	2.167897e-04
0.008900	1.570408	1.570186	2.217439e-04
0.009000	1.570399	1.570172	2.267540e-04
0.009100	1.570390	1.570158	2.318200e-04
0.009200	1.570381	1.570144	2.369420e-04
0.009300	1.570372	1.570130	2.421199e-04
0.009400	1.570363	1.570116	2.473537e-04
0.009500	1.570354	1.570101	2.526435e-04
0.009600	1.570344	1.570086	2.579892e-04
0.009700	1.570335	1.570071	2.633908e-04
0.009800	1.570325	1.570056	2.688483e-04
0.009900	1.570316	1.570041	2.743618e-04
0.010000	1.570306	1.570026	2.799312e-04
0.010100	1.570296	1.570010	2.855565e-04
0.010200	1.570286	1.569995	2.912378e-04
0.010300	1.570276	1.569979	2.969750e-04
0.010400	1.570266	1.569963	3.027681e-04
0.010500	1.570256	1.569947	3.086171e-04
0.010600	1.570245	1.569931	3.145220e-04
0.010700	1.570235	1.569914	3.204828e-04
0.010800	1.570224	1.569898	3.264996e-04
0.010900	1.570214	1.569881	3.325722e-04
0.011000	1.570203	1.569864	3.387008e-04
0.011100	1.570192	1.569847	3.448852e-04
0.011200	1.570181	1.569830	3.511256e-04
0.011300	1.570170	1.569813	3.574219e-04
0.011400	1.570159	1.569795	3.637741e-04
0.011500	1.570148	1.569777	3.701822e-04
0.011600	1.570136	1.569760	3.766462e-04
0.011700	1.570125	1.569742	3.831660e-04
0.011800	1.570113	1.569724	3.897418e-04
0.011900	1.570102	1.569705	3.963735e-04
0.012000	1.570090	1.569687	4.030611e-04
0.012100	1.570078	1.569668	4.098045e-04
0.012200	1.570066	1.569650	4.166039e-04
0.012300	1.570054	1.569631	4.234591e-04
0.012400	1.570042	1.569612	4.303702e-04
0.012500	1.570030	1.569593	4.373372e-04
0.012600	1.570018	1.569573	4.443601e-04
0.012700	1.570005	1.569554	4.514388e-04
0.012800	1.569993	1.569534	4.585734e-04
0.012900	1.569980	1.569514	4.657639e-04
0.013000	1.569967	1.569494	4.730103e-04
0.013100	1.569955	1.569474	4.803126e-04
0.013200	1.569942	1.569454	4.876707e-04
0.013300	1.569929	1.569434	4.950847e-04
0.013400	1.569916	1.569413	5.025545e-04
0.013500	1.569902	1.569392	5.100802e-04
0.013600	1.569889	1.569371	5.176618e-04
0.013700	1.569876	1.569350	5.252993e-04
0.013800	1.569862	1.569329	5.329926e-04
0.013900	1.569849	1.569308	5.407417e-04
0.014000	1.569835	1.569286	5.485467e-04
0.014100	1.569821	1.569265	5.564076e-04
0.014200	1.569807	1.569243	5.643242e-04
0.014300	1.569793	1.569221	5.722968e-04
0.014400	1.569779	1.569199	5.803252e-04
0.014500	1.569765	1.569177	5.884094e-04
0.014600	1.569751	1.569154	5.965495e-04
0.014700	1.569736	1.569132	6.047454e-04
