# Comparação: Solução Numérica vs Solução Analítica
# θ₀ = 0.7854 rad (45.0 graus)
# t(s)	theta_num(rad)	theta_anal(rad)	diferenca(rad)
0.000000	0.785398	0.785398	0.000000e+00
0.000100	0.785398	0.785398	3.840448e-09
0.000200	0.785398	0.785398	1.536179e-08
0.000300	0.785398	0.785398	3.456402e-08
0.000400	0.785398	0.785398	6.144713e-08
0.000500	0.785397	0.785397	9.601112e-08
0.000600	0.785397	0.785397	1.382560e-07
0.000700	0.785396	0.785396	1.881817e-07
0.000800	0.785396	0.785396	2.457882e-07
0.000900	0.785395	0.785395	3.110755e-07
0.001000	0.785395	0.785394	3.840436e-07
0.001100	0.785394	0.785394	4.646925e-07
0.001200	0.785393	0.785393	5.530221e-07
0.001300	0.785392	0.785392	6.490324e-07
0.001400	0.785391	0.785391	7.527233e-07
0.001500	0.785390	0.785389	8.640949e-07
0.001600	0.785389	0.785388	9.831471e-07
0.001700	0.785388	0.785387	1.109880e-06
0.001800	0.785387	0.785386	1.244293e-06
0.001900	0.785386	0.785384	1.386387e-06
0.002000	0.785384	0.785383	1.536161e-06
0.002100	0.785383	0.785381	1.693615e-06
0.002200	0.785381	0.785380	1.858750e-06
0.002300	0.785380	0.785378	2.031565e-06
0.002400	0.785378	0.785376	2.212060e-06
0.002500	0.785376	0.785374	2.400235e-06
0.002600	0.785375	0.785372	2.596090e-06
0.002700	0.785373	0.785370	2.799625e-06
0.002800	0.785371	0.785368	3.010841e-06
0.002900	0.785369	0.785366	3.229735e-06
0.003000	0.785367	0.785363	3.456310e-06
0.003100	0.785365	0.785361	3.690564e-06
0.003200	0.785363	0.785359	3.932498e-06
0.003300	0.785360	0.785356	4.182112e-06
0.003400	0.785358	0.785354	4.439404e-06
0.003500	0.785356	0.785351	4.704377e-06
0.003600	0.785353	0.785348	4.977028e-06
0.003700	0.785351	0.785345	5.257358e-06
0.003800	0.785348	0.785343	5.545368e-06
0.003900	0.785345	0.785340	5.841056e-06
